id,season,division,round,localTeam,visitorTeam,localGoals,visitorGoals,date,timestamp
251,1970-71,2,2,Pontevedra,Logrones,2,1,12/09/1970,21938400
252,1970-71,2,2,Burgos,Sant Andreu,3,1,13/09/1970,22024800
253,1970-71,2,2,Mallorca,Moscardo,5,1,13/09/1970,22024800
254,1970-71,2,2,Cordoba,Ontinyent,3,1,13/09/1970,22024800
255,1970-71,2,2,Oviedo,Cadiz,1,2,13/09/1970,22024800
256,1970-71,2,2,Santander,Langreo,0,1,13/09/1970,22024800
257,1970-71,2,2,Betis,Calvo Sotelo,2,1,13/09/1970,22024800
258,1970-71,2,2,Villarreal,Deportivo,1,1,13/09/1970,22024800
259,1970-71,2,2,Rayo Vallecano,Hercules,1,0,13/09/1970,22024800
260,1970-71,2,2,Racing de Ferrol,Castellon,0,1,13/09/1970,22024800
261,1970-71,2,3,Cadiz,Burgos,3,1,20/09/1970,22629600
262,1970-71,2,3,Moscardo,Villarreal,1,0,20/09/1970,22629600
263,1970-71,2,3,Langreo,Racing de Ferrol,0,1,20/09/1970,22629600
264,1970-71,2,3,Logrones,Calvo Sotelo,3,1,20/09/1970,22629600
265,1970-71,2,3,Ontinyent,Santander,0,1,20/09/1970,22629600
266,1970-71,2,3,Pontevedra,Cordoba,2,0,20/09/1970,22629600
267,1970-71,2,3,Hercules,Mallorca,3,1,20/09/1970,22629600
268,1970-71,2,3,Castellon,Rayo Vallecano,2,0,20/09/1970,22629600
269,1970-71,2,3,Deportivo,Oviedo,1,0,20/09/1970,22629600
270,1970-71,2,3,Sant Andreu,Betis,0,0,20/09/1970,22629600
271,1970-71,2,4,Calvo Sotelo,Sant Andreu,3,0,27/09/1970,23234400
272,1970-71,2,4,Villarreal,Hercules,1,2,27/09/1970,23234400
273,1970-71,2,4,Santander,Pontevedra,2,0,27/09/1970,23234400
274,1970-71,2,4,Oviedo,Moscardo,2,0,27/09/1970,23234400
275,1970-71,2,4,Mallorca,Castellon,1,2,27/09/1970,23234400
276,1970-71,2,4,Rayo Vallecano,Langreo,2,0,27/09/1970,23234400
277,1970-71,2,4,Betis,Cadiz,1,0,27/09/1970,23234400
278,1970-71,2,4,Burgos,Deportivo,3,1,27/09/1970,23234400
279,1970-71,2,4,Racing de Ferrol,Ontinyent,1,0,27/09/1970,23234400
280,1970-71,2,4,Cordoba,Logrones,3,1,27/09/1970,23234400
281,1970-71,2,5,Logrones,Sant Andreu,1,0,04/10/1970,23839200
282,1970-71,2,5,Langreo,Mallorca,0,0,04/10/1970,23839200
283,1970-71,2,5,Castellon,Villarreal,1,1,04/10/1970,23839200
284,1970-71,2,5,Cadiz,Calvo Sotelo,3,0,04/10/1970,23839200
285,1970-71,2,5,Ontinyent,Rayo Vallecano,0,0,04/10/1970,23839200
286,1970-71,2,5,Hercules,Oviedo,1,1,04/10/1970,23839200
287,1970-71,2,5,Cordoba,Santander,1,0,04/10/1970,23839200
288,1970-71,2,5,Deportivo,Betis,3,1,04/10/1970,23839200
289,1970-71,2,5,Moscardo,Burgos,0,0,04/10/1970,23839200
290,1970-71,2,5,Pontevedra,Racing de Ferrol,2,0,04/10/1970,23839200
291,1970-71,2,6,Rayo Vallecano,Pontevedra,4,2,11/10/1970,24444000
292,1970-71,2,6,Burgos,Hercules,1,0,11/10/1970,24444000
293,1970-71,2,6,Santander,Logrones,0,2,11/10/1970,24444000
294,1970-71,2,6,Mallorca,Ontinyent,1,1,11/10/1970,24444000
295,1970-71,2,6,Oviedo,Castellon,3,2,11/10/1970,24444000
296,1970-71,2,6,Racing de Ferrol,Cordoba,1,0,11/10/1970,24444000
297,1970-71,2,6,Calvo Sotelo,Deportivo,0,1,11/10/1970,24444000
298,1970-71,2,6,Villarreal,Langreo,2,0,11/10/1970,24444000
299,1970-71,2,6,Sant Andreu,Cadiz,1,0,11/10/1970,24444000
300,1970-71,2,6,Betis,Moscardo,2,1,12/10/1970,24530400
301,1970-71,2,7,Deportivo,Sant Andreu,0,0,18/10/1970,25048800
302,1970-71,2,7,Castellon,Burgos,1,0,18/10/1970,25048800
303,1970-71,2,7,Langreo,Oviedo,1,0,18/10/1970,25048800
304,1970-71,2,7,Moscardo,Calvo Sotelo,2,1,18/10/1970,25048800
305,1970-71,2,7,Pontevedra,Mallorca,0,0,18/10/1970,25048800
306,1970-71,2,7,Cordoba,Rayo Vallecano,4,1,18/10/1970,25048800
307,1970-71,2,7,Santander,Racing de Ferrol,1,0,18/10/1970,25048800
308,1970-71,2,7,Hercules,Betis,0,0,18/10/1970,25048800
309,1970-71,2,7,Logrones,Cadiz,3,1,18/10/1970,25048800
310,1970-71,2,7,Ontinyent,Villarreal,2,2,18/10/1970,25048800
311,1970-71,2,8,Cadiz,Deportivo,3,1,25/10/1970,25653600
312,1970-71,2,8,Villarreal,Pontevedra,2,0,25/10/1970,25653600
313,1970-71,2,8,Oviedo,Ontinyent,3,0,25/10/1970,25653600
314,1970-71,2,8,Racing de Ferrol,Logrones,4,1,25/10/1970,25653600
315,1970-71,2,8,Betis,Castellon,4,0,25/10/1970,25653600
316,1970-71,2,8,Mallorca,Cordoba,0,1,25/10/1970,25653600
317,1970-71,2,8,Rayo Vallecano,Santander,2,0,25/10/1970,25653600
318,1970-71,2,8,Calvo Sotelo,Hercules,1,1,25/10/1970,25653600
319,1970-71,2,8,Burgos,Langreo,2,0,25/10/1970,25653600
320,1970-71,2,8,Sant Andreu,Moscardo,0,0,25/10/1970,25653600
321,1970-71,2,9,Pontevedra,Oviedo,0,0,31/10/1970,26175600
322,1970-71,2,9,Cordoba,Villarreal,5,1,01/11/1970,26262000
323,1970-71,2,9,Santander,Mallorca,1,1,01/11/1970,26262000
324,1970-71,2,9,Langreo,Betis,0,0,01/11/1970,26262000
325,1970-71,2,9,Castellon,Calvo Sotelo,0,0,01/11/1970,26262000
326,1970-71,2,9,Ontinyent,Burgos,4,0,01/11/1970,26262000
327,1970-71,2,9,Logrones,Deportivo,0,0,01/11/1970,26262000
