id,division,round,visitorGoals,timestamp
463,2,23,0,34729200
464,2,23,0,34729200
465,2,23,0,34729200
466,2,23,0,34729200
467,2,23,1,34729200
468,2,23,1,34729200
469,2,23,0,34729200
470,2,23,0,34729200
471,2,24,1,35247600
472,2,24,2,35334000
473,2,24,0,35334000
474,2,24,0,35334000
475,2,24,0,35334000
476,2,24,1,35334000
477,2,24,2,35334000
478,2,24,0,35334000
479,2,24,1,35334000
480,2,24,0,35334000
481,2,25,0,35938800
482,2,25,1,35938800
483,2,25,0,35938800
484,2,25,0,35938800
485,2,25,1,35938800
486,2,25,0,35938800
487,2,25,1,35938800
488,2,25,1,35938800
489,2,25,0,35938800
490,2,25,0,35938800
491,2,26,1,36543600
492,2,26,1,36543600
493,2,26,0,36543600
494,2,26,1,36543600
495,2,26,1,36543600
496,2,26,0,36543600
497,2,26,0,36543600
498,2,26,1,36543600
499,2,26,1,36543600
500,2,26,0,36543600
501,2,27,1,37148400
502,2,27,0,37148400
503,2,27,0,37148400
504,2,27,0,37148400
505,2,27,0,37148400
506,2,27,1,37148400
507,2,27,0,37148400
508,2,27,3,37148400
509,2,27,0,37148400
510,2,27,0,37148400
511,2,28,2,37666800
512,2,28,0,37753200
513,2,28,0,37753200
514,2,28,2,37753200
515,2,28,2,37753200
516,2,28,2,37753200
517,2,28,0,37753200
518,2,28,0,37753200
519,2,28,0,37753200
520,2,28,0,37753200
521,2,29,0,38185200
522,2,29,2,38358000
523,2,29,1,38358000
524,2,29,0,38358000
525,2,29,0,38358000
526,2,29,0,38358000
527,2,29,0,38358000
528,2,29,0,38358000
529,2,29,0,38358000
530,2,29,2,38530800
531,2,30,0,38962800
532,2,30,1,38962800
533,2,30,0,38962800
534,2,30,2,38962800
535,2,30,1,38962800
536,2,30,0,38962800
537,2,30,0,38962800
538,2,30,0,38962800
539,2,30,0,38962800
540,2,30,1,38962800
541,2,31,0,39477600
542,2,31,0,39564000
543,2,31,0,39564000
544,2,31,0,39564000
545,2,31,1,39564000
546,2,31,0,39564000
547,2,31,1,39564000
548,2,31,0,39564000
549,2,31,0,39564000
550,2,31,1,39564000
551,2,32,0,40082400
552,2,32,1,40168800
553,2,32,0,40168800
554,2,32,1,40168800
555,2,32,1,40168800
556,2,32,0,40168800
557,2,32,1,40168800
558,2,32,0,40168800
559,2,32,1,40168800
560,2,32,1,40168800
561,2,33,2,40687200
